Ycoordinate	Xcoordinate	Copresence	Coabund	HabitatClass	CanopyClosure	LULCChange	HeavilyManagedPts cat1970	LogEdgeDistance
4610432	700418	0	0	2	3	1	0	1	2.8035
4608093	699750	0	0	4	0	3	0	6	1.8976
4607241	704169	0	0	2	3	1	0	1	3.3553
4610699	699980	0	0	4	3	4	0	3	2.1271
4611079	702585	0	0	2	3	1	0	1	3.3168
4613496	705619	0	0	2	3	1	0	1	3.0278
4606057	707502	0	0	4	0	3	1	6	2.5647
4605094	703096	1	2	1	2	4	0	1	0.6990
4614581	705192	0	0	4	1	3	0	4	1.9777
4606490	708412	1	2	4	1	3	0	6	1.3617
4612843	705460	0	0	1	1	1	0	1	1.5798
4608345	707238	1	2	2	3	3	0	6	1.2553
4610261	701320	1	2	2	3	4	0	1	2.1553
4612288	707918	0	0	4	1	3	0	1	2.1139
4607553	707383	0	0	1	1	3	0	6	2.5911
4613156	703637	0	0	2	3	4	0	1	2.6304
4612444	706754	0	0	2	3	1	0	1	1.3802
4612799	704221	0	0	4	0	3	0	6	2.2900
4613869	703293	0	0	4	0	3	0	3	2.6522
4605799	700034	0	0	1	2	3	0	6	1.5185
4606415	707385	0	0	4	0	3	1	6	2.0899
4609641	701046	0	0	1	3	4	0	1	1.7709
4613740	703621	0	0	2	3	1	0	1	2.2014
4607175	699380	0	0	4	2	3	0	6	1.3617
4612947	703303	0	0	1	0	3	0	6	1.9031
4615535	704915	1	2	1	1	3	0	4	1.8261
4615042	704494	0	0	4	0	3	1	6	2.2923
4611315	707043	0	0	2	3	4	0	1	2.6776
4607366	700365	0	0	4	0	3	0	6	2.3502
4609658	707064	0	0	4	0	3	0	6	1.5682
4610536	707006	0	0	2	3	1	0	1	2.3522
4609382	700568	1	4	2	3	4	0	1	2.8169
4607468	702684	1	2	2	2	4	0	1	2.0792
4610441	707716	0	0	4	0	2	0	4	2.0294
4611403	707369	0	0	4	0	3	0	1	1.2304
4614709	704619	0	0	2	3	4	0	1	1.9731
4608051	699754	0	0	4	0	3	1	6	2.3263
4613749	703664	0	0	2	3	1	0	1	2.3522
4607774	707123	0	0	4	0	3	1	1	1.9294
4605452	705378	1	1	4	2	3	0	1	1.9777
4608266	702283	0	0	4	0	3	0	6	1.7853
4605883	704040	1	2	2	3	4	0	6	2.1761
4606363	707617	0	0	4	1	3	0	6	1.8261
4605341	705245	0	0	4	1	3	1	6	2.2833
4612976	702405	0	0	4	0	2	0	3	2.0043
4610961	707757	0	0	4	1	3	0	1	1.9590
4606257	706736	0	0	1	0	3	1	1	2.1584
4605160	701563	1	4	1	2	4	0	1	2.3945
4608219	701308	0	0	2	3	4	0	5	1.1761
4608451	705982	0	0	2	3	1	0	1	2.4362
4605805	700203	0	0	4	0	2	0	3	2.1399
4606927	707774	0	0	4	0	3	0	6	2.4518
4611898	707729	0	0	1	1	3	0	3	1.0792
4610238	700113	1	2	4	2	5	0	4	1.3617
4612847	703165	0	0	3	0	3	0	6	1.6532
4606787	700042	0	0	4	0	3	1	4	2.0719
4609616	706803	0	0	2	3	1	0	1	1.4150
4611271	700743	1	2	4	1	3	0	1	1.3617
4615704	705008	1	2	4	1	3	0	6	1.8325
4612220	700416	0	0	1	0	3	0	1	1.8388
4605738	700296	1	1	2	3	4	0	1	2.1461
4614860	704535	0	0	4	0	3	1	6	2.0492
4611346	707021	0	0	2	3	4	0	1	2.6274
4608051	707175	0	0	1	0	3	0	1	2.0792
4609922	708746	0	0	4	2	3	0	6	1.7076
4613346	708252	1	4	2	3	4	0	4	2.3522
4608781	701457	1	3	2	3	4	0	1	2.7752
4607818	706749	1	2	1	1	3	0	6	1.2788
4614369	703498	0	0	4	0	3	0	6	2.0294
4610210	700149	1	2	2	2	5	0	4	1.3802
4615039	704115	0	0	4	2	3	0	6	2.2304
4609495	700581	1	3	2	3	4	0	1	1.6721
4609235	701803	0	0	2	3	4	0	1	1.7160
4613820	701360	0	0	4	1	2	0	3	2.9165
4614598	704548	0	0	4	0	3	0	6	2.1303
4607671	701962	1	4	2	3	4	0	1	2.3345
4609259	701168	0	0	4	0	3	0	6	1.8573
4611759	702254	0	0	4	0	3	0	6	1.9731
4608208	702322	0	0	4	1	3	0	6	2.2553
4615875	704989	0	0	4	0	3	1	6	2.1303
4612719	702928	0	0	4	0	3	0	6	2.0531
4606998	699707	1	2	1	1	3	0	6	1.1761
4614545	705415	0	0	4	0	3	0	5	1.5911
4609048	700309	1	2	2	3	4	0	4	1.7324
4613775	702536	0	0	4	0	3	1	1	1.8633
4612211	700014	1	2	2	3	3	0	1	1.3979
4604472	703996	1	2	4	1	3	0	4	2.4232
4609698	700344	0	0	1	0	3	0	3	1.7853
4612696	702864	0	0	1	3	1	0	1	1.5682
4604649	703719	1	2	4	1	3	0	6	1.8808
4606013	699864	1	1	4	1	3	0	6	2.1139
4604778	701917	1	2	1	1	3	0	6	0.9542
4607346	702921	1	3	1	2	2	0	5	1.0000
4605566	701306	1	2	1	2	3	0	6	1.3424
4608907	699899	0	0	4	0	3	0	3	2.3139
4610765	706668	0	0	2	3	1	0	1	2.4728
4612426	706834	0	0	2	2	4	0	5	2.1367
4608295	705984	0	0	2	3	1	0	1	2.2405
4608836	708292	1	3	1	2	4	0	1	1.2788
4614387	701938	0	0	4	0	2	0	3	2.8325
4609305	701593	0	0	2	3	4	0	1	2.0043
4609260	701251	0	0	2	3	4	0	1	2.0531
4615237	704595	1	3	1	1	3	0	3	1.4314
4608705	702621	0	0	2	3	4	0	1	1.6435
4609265	699984	0	0	1	0	3	0	3	1.7782
4608181	702000	0	0	2	3	1	0	1	2.1931
4612093	707659	1	3	2	3	4	0	1	1.9085
4605393	706434	1	1	2	2	3	0	6	1.6021
4610392	708477	0	0	1	0	3	0	6	2.0086
4613817	701219	0	0	4	0	2	0	3	2.7451
4613584	702906	0	0	4	0	2	0	3	1.3424
4611514	699895	0	0	4	0	3	0	5	1.6532
4610504	701372	0	0	4	0	3	0	6	1.9912
4611725	707973	0	0	4	1	3	0	4	2.1673
4606712	699365	0	0	4	0	3	0	3	1.9085
4610512	707113	0	0	2	3	4	0	1	2.6053
4611166	699735	0	0	1	1	3	0	5	1.6435
4610727	706606	0	0	2	3	1	0	1	2.6785
4610396	707754	0	0	4	0	2	0	4	2.2041
4606630	700589	0	0	4	1	3	0	4	1.7634
4606249	700030	0	0	4	0	2	0	3	2.1399
4615082	704359	0	0	4	2	3	0	6	2.3560
4610493	707889	0	0	4	0	2	0	4	2.0374
4605058	702411	1	2	4	1	4	0	5	2.2227
4614018	703908	0	0	4	1	5	0	3	1.7634
4604996	702692	1	1	4	0	3	0	5	1.9138
4610837	707162	0	0	2	3	1	0	1	2.6875
4607580	707467	0	0	4	0	3	0	6	2.0414
4605953	707768	1	2	1	3	3	0	6	1.2304
4609827	701628	0	0	4	0	3	0	6	1.9138
4608211	699853	0	0	4	0	3	1	1	2.4065
4614420	701904	0	0	4	0	2	0	3	2.8669
4609451	706094	1	2	4	3	4	0	1	1.8808
4605413	702002	0	0	1	2	3	0	4	0.9031
4606349	700235	1	2	2	3	4	0	1	2.1271
4610580	707505	0	0	4	2	3	0	6	1.8633
4614537	703269	0	0	2	3	4	0	1	1.5441
4610785	706694	0	0	2	3	4	0	1	2.3692
4606597	700057	0	0	4	0	3	0	3	1.9823
4607775	705523	0	0	1	0	1	0	1	1.8573
4607082	701949	1	3	2	3	4	0	1	2.6532
4614027	703165	0	0	4	0	3	0	3	1.8692
4614510	705442	1	1	1	2	3	0	5	1.0414
4610475	707791	0	0	4	0	2	0	4	2.4281
4615156	704425	1	2	1	1	3	0	4	1.5441
4614417	705273	0	0	1	0	3	1	1	2.3075
4608804	701601	1	2	2	3	4	0	1	2.8500
4608057	700386	0	0	2	1	4	0	4	2.0531
4610739	700984	0	0	2	3	1	0	1	2.1847
4608114	702421	0	0	4	0	3	1	6	2.1492
4612873	702321	1	1	2	3	1	0	1	2.1430
4609312	701606	0	0	2	3	4	0	1	1.7482
4613327	700614	0	0	2	3	4	0	1	1.9638
4606963	699486	0	0	4	1	3	0	6	1.9395
4606558	699218	0	0	1	0	3	0	1	2.4031
4613398	708351	1	3	2	3	4	0	4	2.3598
4607046	700122	0	0	4	0	3	0	3	2.0719
4612251	707432	1	2	2	3	4	0	3	1.6990
4605038	705474	0	0	4	0	3	0	6	1.5682
4614177	701893	0	0	4	0	2	0	3	2.8222
4608159	702004	0	0	2	2	4	0	5	1.9542
4606137	700928	0	0	4	1	3	0	6	1.6628
4608050	702455	0	0	1	0	3	1	6	2.2989
4609710	700159	0	0	2	3	4	0	1	2.1875
4608615	699943	1	2	1	1	3	0	1	1.2553
4607153	707673	0	0	4	1	3	1	6	2.0170
4607674	699640	1	2	3	3	4	0	1	2.2923
4605615	705185	0	0	2	3	4	0	1	2.4346
4609026	708437	0	0	2	3	4	0	1	2.0043
4613193	707677	0	0	2	2	4	0	5	1.9590
4613944	703225	0	0	4	0	3	0	3	2.4955
4607063	700048	0	0	4	2	3	0	3	1.8808
4613367	700588	0	0	2	3	4	0	1	2.3747
4613634	701392	0	0	4	0	2	0	3	2.6435
4613301	703288	0	0	3	3	4	0	1	2.3617
4609361	700677	1	4	2	3	4	0	1	2.4829
4609602	707178	0	0	4	0	3	0	6	1.7634
4615282	704314	0	0	4	0	3	1	6	1.7243
4613832	701265	0	0	4	0	3	0	6	2.8344
4608765	702308	1	2	2	3	4	0	1	2.7723
4611706	699664	0	0	1	1	4	0	5	1.1461
4608009	702392	0	0	1	1	3	0	6	1.1461
4613937	701246	0	0	4	0	2	0	3	2.7118
4610837	707544	0	0	4	3	2	0	3	2.2900
4609041	708471	0	0	2	3	4	0	1	1.9912
4612997	702490	0	0	1	1	2	0	3	0.8451
4605961	704842	0	0	4	1	3	0	6	1.3222
4605855	700193	0	0	4	0	2	0	3	2.0719
4605873	700247	1	2	2	3	4	0	1	1.8261
4609704	700134	0	0	2	2	4	0	1	2.0334
4608527	701576	1	3	2	3	4	0	1	1.7076
4614562	703297	1	1	2	3	4	0	1	2.1271
4608090	701032	0	0	1	1	3	0	6	1.5315
4606548	699193	0	0	4	1	3	0	4	2.2175
4605920	700326	0	0	2	3	4	0	1	2.4378
4605653	707638	0	0	4	1	3	0	6	2.2878
4607484	702019	1	2	4	2	3	0	4	1.6128
4608096	700167	0	0	4	0	3	1	3	2.3304
4614338	701893	0	0	4	0	2	0	3	2.9375
4609924	700183	0	0	4	1	2	0	3	1.9294
4606178	702221	0	0	4	0	3	0	6	2.0934
4609210	708961	0	0	4	0	3	0	6	2.1239
4613377	703256	0	0	1	2	4	0	1	1.7076
4604498	703266	1	3	2	3	4	0	1	2.2810
4615182	704211	0	0	4	0	3	1	6	2.1761
4605593	707382	0	0	4	1	3	0	6	2.1703
4606494	699993	0	0	1	0	2	0	3	2.1461
4613473	702820	0	0	2	3	4	0	1	2.1004
4613776	703434	0	0	4	1	5	0	3	1.3010
4611385	699883	0	0	4	0	3	0	5	1.6021
4613681	702833	0	0	1	3	1	0	1	1.9445
4610905	707266	0	0	2	3	4	0	1	1.9685
4605994	699960	1	2	2	3	4	0	4	2.2304
4605734	707508	0	0	4	1	3	0	6	2.3139
4607064	702605	0	0	4	0	3	0	4	1.9445
4606934	702889	1	2	2	3	4	0	4	2.4969
4605986	707712	0	0	4	2	3	0	6	1.9823
4610450	707802	0	0	4	0	2	0	4	2.4786
4609076	708904	0	0	4	1	2	0	1	1.4150
4606595	705247	1	2	1	0	3	0	6	1.6721
4613242	702741	0	0	4	1	2	0	3	2.0414
4610866	707971	1	1	4	0	2	0	4	1.3979
4609038	700306	1	2	4	2	4	0	4	1.4914
4611855	708060	0	0	2	2	3	0	1	1.7243
4614273	701805	0	0	4	0	2	0	3	3.0282
4605219	702423	0	0	4	0	3	0	5	2.1335
4605045	702384	1	4	4	2	4	0	1	1.8573
4614030	704016	0	0	1	2	4	0	1	1.4624
4605398	701509	1	2	1	1	3	0	6	1.5798
4606755	700495	0	0	4	0	3	0	3	2.3075
4605805	701916	0	0	4	0	3	0	6	2.1206
4605431	701392	1	1	4	2	3	0	6	0.6990
4609637	700263	0	0	1	0	3	0	3	1.7324
4607561	699756	0	0	4	0	2	0	4	1.6902
4610372	707880	1	2	4	0	2	0	3	1.3010
4606621	699280	0	0	4	0	3	1	3	2.1644
4608202	700891	1	2	1	1	4	0	1	1.3010
4609094	708691	0	0	2	3	4	0	5	1.7160
4607167	701416	1	2	4	1	3	0	6	1.9085
4611198	707241	0	0	2	3	1	0	1	1.7924
4605183	703229	0	0	1	0	3	0	6	1.9731
4613737	702490	0	0	4	0	3	0	5	1.8195
4606636	700469	0	0	4	0	3	1	4	2.0294
4614092	705911	0	0	3	2	1	0	1	1.7076
4605966	704825	0	0	4	0	3	0	6	1.7709
4606078	700508	1	3	1	1	2	0	4	1.4771
4605776	701728	1	4	2	3	4	0	1	1.9590
4610645	707343	1	2	2	3	4	0	5	1.9191
4608854	707813	1	3	2	3	4	0	1	2.2148
4605832	707236	0	0	4	2	3	0	6	1.6902
4605728	701866	1	4	2	2	4	0	1	1.8451
4614222	701988	0	0	4	1	2	0	3	2.6599
4614415	702471	0	0	4	0	2	0	3	1.9085
4605406	702043	1	1	1	1	3	0	6	1.8388
4608358	705986	0	0	2	3	1	0	1	2.2380
4607466	699908	1	3	2	2	4	0	5	1.7324
4614572	704812	0	0	1	0	3	0	1	2.4099
4609584	707156	0	0	4	0	3	0	4	1.7482
4605727	702352	0	0	4	0	3	0	6	2.1106
4608928	707762	1	3	2	3	4	0	1	2.1461
4610437	707153	0	0	2	3	1	0	1	2.8774
4604591	703221	1	4	2	3	4	0	1	1.5911
4605974	707998	1	1	4	2	3	0	6	2.4548
4607738	705683	0	0	4	0	3	0	4	2.4232
4604864	705791	0	0	4	0	3	0	6	1.8921
4608069	707399	0	0	1	2	3	0	6	2.4298
4611068	701435	0	0	2	1	1	0	1	2.9149
4606817	700265	0	0	4	1	3	0	3	2.4314
4613355	703233	0	0	1	3	4	0	1	2.1399
4605616	705155	0	0	2	3	1	0	1	2.2279
4605277	702376	0	0	4	1	3	0	4	0.6990
4606417	705238	0	0	4	1	3	0	4	2.0645
4613712	704547	1	1	2	3	4	0	1	3.2815
4609916	706914	0	0	2	3	1	0	1	1.7782
4609768	702135	0	0	4	1	3	0	6	1.8325
4614604	704906	1	1	2	3	4	0	5	1.7076
4613861	705758	1	2	2	3	4	0	4	2.2945
4607451	699985	0	0	4	2	4	0	6	1.9868
4605463	701048	0	0	4	2	3	0	6	0.9031
4607161	699843	0	0	4	0	3	0	6	2.3636
4614002	705894	0	0	1	0	2	0	4	1.5563
4607679	699812	0	0	4	1	5	0	4	1.0000
4605697	700676	0	0	4	0	3	0	5	1.6532
4605465	701406	1	1	1	1	3	0	6	1.0000
4607467	700426	0	0	4	0	3	1	3	1.7482
4605899	708025	0	0	4	1	3	0	6	2.1335
4607441	700303	0	0	4	0	3	0	3	2.2504
4608239	701346	0	0	1	2	4	0	5	2.0682
4614514	705398	0	0	1	1	3	0	5	2.1271
4613354	700340	0	0	2	3	4	0	5	2.3404
4613978	705931	0	0	4	0	2	0	4	1.7324
4610932	699818	0	0	1	1	3	0	6	1.6532
4611109	700956	0	0	4	1	3	0	1	2.0934
4609803	701970	0	0	2	3	1	0	1	1.6812
4613872	701640	0	0	1	2	3	0	6	1.4771
4609078	700227	0	0	1	1	3	0	6	2.1523
4606945	699211	1	2	2	3	4	0	6	1.7853
4605589	700851	1	1	1	2	4	0	1	1.1461
4608166	699804	0	0	4	0	3	1	1	2.1004
4609186	700030	0	0	1	0	3	0	6	1.4624
4607203	701631	1	5	2	3	4	0	1	2.0212
4607276	702603	0	0	4	1	2	0	4	1.1139
4610843	707753	0	0	2	3	4	0	1	2.3927
4610825	707300	0	0	4	0	3	0	5	1.6721
4608699	702009	0	0	4	3	3	0	6	1.8129
4612595	707273	1	2	2	3	4	0	5	1.9243
4614614	704426	0	0	4	0	3	1	6	2.1271
4608202	700580	0	0	2	3	4	0	1	1.7634
4613696	702475	0	0	2	3	4	0	1	1.7404
4613871	701678	0	0	4	1	3	0	6	1.9345
4614591	704810	0	0	1	1	3	0	1	2.4362
4609701	700143	1	1	2	2	4	0	1	2.1492
4605461	702296	1	2	4	0	3	0	6	2.4425
4613308	708290	1	2	3	3	3	0	5	1.7709
4606278	699569	0	0	4	0	3	1	3	2.1903
4612470	706810	0	0	2	3	1	0	1	1.1139
4606910	699427	0	0	4	0	3	0	6	2.1367
4605226	702343	1	1	4	0	3	0	4	1.5911
4607581	700217	0	0	1	3	3	0	1	1.7993
4609813	701941	0	0	2	3	1	0	1	1.6812
4607201	700208	0	0	4	1	3	0	3	1.4150
4610724	700127	0	0	2	3	4	0	5	2.1430
4613764	702640	1	1	2	3	1	0	1	2.4281
4605626	700739	0	0	4	0	3	0	5	1.6990
4606951	702536	1	2	1	2	5	0	4	1.0792
4615856	705036	0	0	1	1	3	0	6	2.3979
4611117	700954	0	0	4	1	3	0	1	1.9590
4612921	707748	1	3	1	2	4	0	5	1.6232
4613766	705810	1	2	2	3	4	0	1	1.8388
4606367	700780	0	0	1	2	1	0	1	1.0000
4610709	700908	1	1	1	3	4	0	1	1.2788
4609954	700054	0	0	1	0	3	1	6	1.8751
4611883	707654	0	0	4	0	3	1	3	1.7709
4610607	706759	0	0	2	3	1	0	1	2.3692
4614311	702639	0	0	4	1	3	0	3	2.4133
4607041	699634	0	0	4	1	3	0	6	2.4048
4613955	704019	0	0	2	3	1	0	1	1.9823
4605921	699946	1	2	2	3	4	0	4	2.0128
4607275	700331	1	1	4	2	3	0	3	1.1761
4606185	704685	0	0	4	0	3	0	3	2.2148
4614138	703716	1	1	2	3	4	0	3	1.7482
4607273	700164	0	0	4	0	3	0	1	1.9395
4612792	702405	0	0	2	3	4	0	1	2.3032
4608437	707302	1	2	4	1	3	0	6	2.0645
4608467	701310	0	0	3	0	5	0	2	1.2041
4607508	699993	0	0	4	2	5	0	6	1.8062
4605776	700265	1	2	1	3	4	0	1	1.6721
4608686	701285	0	0	4	0	3	0	6	1.3617
4609673	706158	0	0	2	3	1	0	1	2.9165
4614690	704341	0	0	1	1	4	0	1	1.9445
4609739	700829	1	1	1	2	3	0	6	1.1139
4604668	702141	1	4	2	2	3	0	1	1.8062
4611963	707618	0	0	4	0	3	0	3	1.2788
4613328	708307	1	2	2	3	4	0	1	2.0170
4608623	701517	1	4	2	3	4	0	1	2.5682
4613863	701602	0	0	1	0	3	0	5	2.0170
4615237	704762	0	0	1	1	3	0	1	1.8325
4608179	699862	0	0	4	0	3	1	1	2.4914
4606223	707608	1	2	4	2	3	0	6	1.6902
4611710	699627	1	2	3	2	4	0	1	1.7076
4615370	704257	0	0	4	1	3	1	6	2.1673
4606482	708170	0	0	1	0	3	1	6	1.8388
4605797	701882	0	0	4	2	3	0	6	2.0086
4607135	702290	1	4	2	2	4	0	1	1.6902
4605770	707497	0	0	4	1	3	0	6	2.3243
4606491	708130	0	0	1	0	3	1	6	2.2405
4605369	702591	0	0	4	2	3	0	6	2.1335
4605254	703781	1	2	1	2	3	0	1	1.1461
4613328	708214	1	3	2	3	4	0	5	2.3820
4612575	707321	0	0	2	3	4	0	5	2.3284
4605740	705019	0	0	4	0	3	0	6	1.8451
4605802	702321	1	1	4	0	3	0	6	2.0755
4611694	699672	0	0	1	1	4	0	5	1.0414
4612507	707038	0	0	4	1	4	0	5	1.8692
4610798	707355	0	0	4	0	3	0	4	1.5563
4611723	699984	1	2	2	3	4	0	5	1.8513
4607369	702717	0	0	4	0	5	0	3	1.9191
4613164	700239	1	1	2	3	4	0	5	1.4624
4613355	708301	1	2	2	3	4	0	5	2.2455
4610668	700131	0	0	2	3	4	0	3	2.5011
4613711	704508	0	0	2	3	4	0	5	3.3109
4606913	702923	1	4	2	3	4	0	4	2.5587
4611742	700004	1	1	2	3	3	0	5	1.6902
4606943	702725	1	1	4	2	5	0	4	1.1461
4606907	702792	1	1	4	2	5	0	4	2.0792
4607447	699794	0	0	4	0	5	0	4	1.4150
4614224	702829	0	0	4	0	5	0	4	2.0212
4613728	702558	0	0	2	3	4	0	5	1.7709
4613674	702486	1	1	2	3	4	0	1	2.1106
4611756	700013	1	1	2	3	4	0	5	1.7559
4610362	700245	0	0	4	2	5	0	4	1.5682
4613825	702491	1	2	1	2	4	0	5	1.4771
4609666	707039	0	0	4	0	3	1	6	2.1038
4606286	700215	1	2	2	3	4	0	1	1.9395
4606934	702736	1	1	4	1	5	0	4	1.6128
4613839	705801	1	3	2	3	4	0	4	1.8261
4610124	700217	0	0	4	0	5	0	4	1.8261
4611604	699778	0	0	4	0	2	0	4	2.2014
4611957	707654	0	0	4	0	3	1	3	1.4624
4610731	700126	0	0	2	3	4	0	5	2.0682
4611957	707626	0	0	4	0	3	1	3	1.6021
4610614	707321	1	2	2	3	4	0	5	1.9031
4606176	702401	1	2	1	2	2	0	4	1.0792
4606329	700291	1	2	2	3	4	0	1	2.3010
4610157	700307	1	2	2	3	4	0	5	1.6435
4606278	700264	1	2	2	3	4	0	1	2.0414
4605960	699933	0	0	2	3	4	0	4	1.8451
4610172	700239	0	0	4	0	5	0	4	1.8865
4613370	700346	0	0	2	3	4	0	5	2.2227
4606874	702853	1	2	4	1	5	0	4	2.0569
4613991	705714	0	0	2	3	4	0	5	2.2304
4606312	700283	1	3	2	3	4	0	1	2.1847
4612492	706994	0	0	2	3	4	0	5	1.9590
4605766	700929	1	3	4	1	3	0	1	1.3979
4607416	702690	0	0	4	0	3	0	3	1.1461
4613354	707682	0	0	2	3	4	0	4	2.1903
4609677	700404	0	0	2	3	4	0	3	1.6532
4610207	700230	0	0	4	0	5	0	4	1.5682
4606078	706543	1	3	1	1	5	0	4	1.2553
4613950	705776	0	0	2	3	4	0	4	1.4472
4610227	700240	0	0	4	1	5	0	4	0.7782
4606937	702714	0	0	4	1	5	0	4	1.5563
4607583	699754	0	0	4	0	2	0	4	1.8325
4613922	705779	0	0	2	3	4	0	4	1.8195
4607376	702692	0	0	4	0	3	1	3	1.3979
4607018	701593	1	4	2	3	4	0	5	1.9191
4609693	700267	0	0	1	1	4	0	3	1.2788
4611595	699766	0	0	4	0	2	0	4	2.3617
4610843	707523	0	0	4	0	2	0	3	2.3385
4609597	707188	1	1	4	0	3	0	4	1.6990
4610876	707539	0	0	4	0	2	0	3	1.9823
4608181	700366	0	0	4	0	5	0	4	1.9138
4609669	700358	0	0	1	2	4	0	3	1.3222
4606537	702966	1	2	2	2	4	0	5	2.0755
4609609	707053	0	0	4	0	3	1	4	1.9395
4609718	700371	0	0	1	1	4	0	3	1.4771
4610833	707522	0	0	4	0	2	0	3	2.3284
4608124	702119	0	0	4	0	2	0	4	1.3617
4607359	702715	0	0	4	0	5	0	3	1.7782
4611591	699742	0	0	4	1	2	0	4	2.4857
4606216	702472	1	2	1	1	2	0	4	1.0792
4606537	702949	1	2	4	2	5	0	4	1.8195
4606069	706542	1	3	1	1	5	0	4	1.4150
4610828	707491	0	0	4	0	2	0	3	2.0645
4607469	699755	0	0	1	2	5	0	4	1.8129
4609779	700089	0	0	4	0	2	0	3	2.0000
4607346	702737	0	0	4	0	5	0	3	1.6532
4607345	702707	0	0	4	0	5	0	3	1.1761
4609626	700319	0	0	4	3	4	0	3	1.4771
4611577	699730	0	0	4	0	2	0	4	2.3160
4609781	700080	0	0	4	1	2	0	3	1.8513
4606202	702396	1	3	4	0	2	0	4	1.3010
4607364	702738	0	0	4	0	5	0	3	1.4472
4608131	700372	0	0	4	0	5	0	4	1.8062
4609681	700357	0	0	1	1	4	0	3	1.0000
4610127	700272	0	0	4	2	5	0	4	1.2304
4609683	700433	0	0	1	1	4	0	3	1.2788
4611611	699735	0	0	4	0	2	0	4	2.2788
4608249	700071	0	0	4	0	3	1	3	2.0170
4607397	699773	1	3	1	2	5	0	4	1.6721
4610837	707520	0	0	4	0	2	0	3	2.3075
4608285	700101	0	0	4	0	3	1	3	1.8751
4606064	706522	1	2	4	1	5	0	4	1.3617
4608244	700066	0	0	4	0	3	1	3	1.9731
4607332	702733	0	0	4	0	5	0	3	1.7782
4609694	700321	0	0	1	1	3	0	3	1.8865
4611573	699726	0	0	4	0	2	0	4	2.2695
4610142	700283	0	0	1	2	5	0	5	1.5441
4610164	700221	0	0	4	0	5	0	4	1.8808
4608228	700343	0	0	4	0	5	0	4	1.7924
4610090	700244	0	0	4	1	5	0	4	1.5682
4610852	707557	0	0	4	0	2	0	3	2.0969
4604305	703331	1	4	2	3	4	0	1	1.4914
4610138	707539	0	0	1	2	3	0	4	1.8692
4611883	708661	1	3	1	1	3	0	6	1.0000
4610122	708549	0	0	1	0	3	0	4	2.2480
4609159	708864	1	2	1	1	4	0	5	1.4150
4605409	702113	1	4	2	2	4	0	1	1.1139
4608776	707808	1	2	2	2	4	0	1	1.8261
4609211	707353	1	3	1	1	1	0	1	1.0414
4605799	701715	1	3	2	2	4	0	5	1.5563
4605910	702271	1	2	1	2	3	0	6	2.0294
4606309	701172	0	0	1	1	4	0	1	1.2304
4606223	701462	1	2	1	2	3	0	6	0.9031
4606263	701536	1	2	1	2	3	0	6	1.3222
4610829	700162	0	0	1	1	3	0	1	1.1761
4615695	705287	0	0	1	1	3	0	6	1.9685
4604943	706022	1	3	1	1	3	0	6	0.9031
4605200	705328	1	3	1	1	3	0	6	1.4914
4605679	704174	1	3	1	1	1	0	1	1.3010
4606955	699459	0	0	1	1	3	0	6	0.6990
4604536	703279	1	4	2	3	4	0	1	2.0334
4605186	701559	1	4	2	3	1	0	1	2.4502
